20000 18000
submit 1 100
submit 2 300
submit 3 300
submit 4 300
submit 5 100
submit 6 100
submit 7 300
submit 8 200
submit 9 100
submit 10 100
submit 11 200
submit 12 200
submit 13 300
submit 14 200
submit 15 200
submit 16 100
submit 17 200
submit 18 200
submit 19 300
submit 20 300
submit 21 200
submit 22 100
submit 23 300
submit 24 100
submit 25 300
submit 26 300
submit 27 100
submit 28 200
submit 29 200
submit 30 200
submit 31 300
submit 32 300
submit 33 300
submit 34 100
submit 35 100
submit 36 200
submit 37 300
submit 38 100
submit 39 100
submit 40 300
submit 41 300
submit 42 200
submit 43 200
submit 44 100
submit 45 300
submit 46 300
submit 47 300
submit 48 200
submit 49 100
submit 50 300
submit 51 300
submit 52 200
submit 53 200
submit 54 200
submit 55 200
submit 56 300
submit 57 100
submit 58 100
submit 59 100
submit 60 300
submit 61 100
submit 62 100
submit 63 100
submit 64 200
submit 65 300
submit 66 100
submit 67 300
submit 68 100
submit 69 300
submit 70 100
submit 71 100
submit 72 100
submit 73 200
submit 74 200
submit 75 100
submit 76 200
submit 77 100
submit 78 100
submit 79 200
submit 80 200
submit 81 300
submit 82 200
submit 83 200
submit 84 100
submit 85 300
submit 86 200
submit 87 100
submit 88 200
submit 89 100
submit 90 300
submit 91 100
submit 92 200
submit 93 300
submit 94 200
submit 95 100
submit 96 200
submit 97 300
submit 98 300
submit 99 300
submit 100 200
submit 101 100
submit 102 100
submit 103 200
submit 104 200
submit 105 100
submit 106 200
submit 107 200
submit 108 300
submit 109 100
submit 110 200
submit 111 200
submit 112 100
submit 113 100
submit 114 200
submit 115 300
submit 116 300
submit 117 200
submit 118 200
submit 119 100
submit 120 200
submit 121 200
submit 122 200
submit 123 300
submit 124 300
submit 125 300
submit 126 300
submit 127 300
submit 128 200
submit 129 100
submit 130 200
submit 131 300
submit 132 200
submit 133 100
submit 134 300
submit 135 300
submit 136 300
submit 137 100
submit 138 300
submit 139 200
submit 140 300
submit 141 300
submit 142 200
submit 143 100
submit 144 100
submit 145 300
submit 146 200
submit 147 200
submit 148 300
submit 149 300
submit 150 100
submit 151 200
submit 152 300
submit 153 300
submit 154 300
submit 155 100
submit 156 100
submit 157 200
submit 158 300
submit 159 200
submit 160 100
submit 161 300
submit 162 300
submit 163 100
submit 164 100
submit 165 100
submit 166 100
submit 167 200
submit 168 100
submit 169 200
submit 170 100
submit 171 300
submit 172 200
submit 173 200
submit 174 200
submit 175 300
submit 176 100
submit 177 200
submit 178 100
submit 179 300
submit 180 100
submit 181 100
submit 182 200
submit 183 100
submit 184 200
submit 185 100
submit 186 100
submit 187 100
submit 188 100
submit 189 100
submit 190 300
submit 191 100
submit 192 100
submit 193 300
submit 194 100
submit 195 200
submit 196 200
submit 197 300
submit 198 100
submit 199 100
submit 200 200
submit 201 300
submit 202 200
submit 203 100
submit 204 100
submit 205 100
submit 206 300
submit 207 100
submit 208 300
submit 209 300
submit 210 300
submit 211 100
submit 212 200
submit 213 200
submit 214 300
submit 215 300
submit 216 200
submit 217 200
submit 218 300
submit 219 100
submit 220 200
submit 221 100
submit 222 300
submit 223 200
submit 224 300
submit 225 200
submit 226 300
submit 227 100
submit 228 200
submit 229 100
submit 230 100
submit 231 300
submit 232 100
submit 233 300
submit 234 200
submit 235 100
submit 236 100
submit 237 200
submit 238 300
submit 239 300
submit 240 200
submit 241 100
submit 242 100
submit 243 200
submit 244 200
submit 245 100
submit 246 300
submit 247 300
submit 248 100
submit 249 300
submit 250 300
submit 251 100
submit 252 100
submit 253 100
submit 254 200
submit 255 300
submit 256 100
submit 257 100
submit 258 100
submit 259 100
submit 260 200
submit 261 300
submit 262 300
submit 263 100
submit 264 200
submit 265 300
submit 266 100
submit 267 200
submit 268 100
submit 269 300
submit 270 300
submit 271 100
submit 272 100
submit 273 200
submit 274 300
submit 275 100
submit 276 200
submit 277 100
submit 278 200
submit 279 100
submit 280 200
submit 281 300
submit 282 300
submit 283 100
submit 284 200
submit 285 100
submit 286 200
submit 287 200
submit 288 300
submit 289 300
submit 290 300
submit 291 200
submit 292 200
submit 293 300
submit 294 200
submit 295 100
submit 296 200
submit 297 200
submit 298 200
submit 299 200
submit 300 300
submit 301 100
submit 302 200
submit 303 300
submit 304 200
submit 305 100
submit 306 200
submit 307 100
submit 308 100
submit 309 100
submit 310 100
submit 311 100
submit 312 100
submit 313 200
submit 314 200
submit 315 300
submit 316 200
submit 317 100
submit 318 200
submit 319 100
submit 320 100
submit 321 100
submit 322 300
submit 323 300
submit 324 200
submit 325 300
submit 326 300
submit 327 300
submit 328 200
submit 329 300
submit 330 200
submit 331 300
submit 332 300
submit 333 200
submit 334 300
submit 335 100
submit 336 300
submit 337 200
submit 338 200
submit 339 200
submit 340 200
submit 341 100
submit 342 200
submit 343 100
submit 344 200
submit 345 300
submit 346 200
submit 347 100
submit 348 300
submit 349 300
submit 350 100
submit 351 300
submit 352 100
submit 353 300
submit 354 100
submit 355 300
submit 356 100
submit 357 100
submit 358 200
submit 359 200
submit 360 200
submit 361 200
submit 362 300
submit 363 200
submit 364 100
submit 365 300
submit 366 200
submit 367 300
submit 368 100
submit 369 100
submit 370 300
